length width height
56 99 81
42 101 51
91 56 84
73 71 88
88 70 85
84 49 60
48 93 63
83 63 57
88 106 56
51 50 110
86 80 78
104 90 68
62 109 41
91 72 81
71 62 94
69 40 100
73 104 64
92 46 81
84 47 54
99 43 60
104 86 63
66 71 97
65 63 41
67 98 66
44 78 102
80 95 103
90 54 92
98 79 44
63 79 67
52 49 65
54 104 72
68 85 91
85 64 60
110 59 85
63 109 91
80 88 97
47 66 102
96 84 75
92 74 83
75 106 79
65 46 55
67 100 49
54 42 58
88 88 54
46 104 65
49 83 83
103 96 93
68 87 88
80 71 59
98 58 57
105 72 57
54 84 78
86 51 51
58 67 73
70 45 95
96 95 81
105 74 48
58 81 61
87 89 80
44 64 83
78 74 72
94 61 76
88 73 41
68 99 56
60 72 74
67 84 47
91 56 56
50 69 102
48 110 95
64 98 96
60 68 108
47 60 58
61 88 53
52 70 47
85 79 71
75 88 110
74 77 45
54 108 105
90 61 53
107 92 54
100 97 66
70 110 52
81 108 54
49 109 69
103 101 68
83 87 80
97 69 101
51 68 89
65 59 43
48 102 101
64 53 57
94 65 58
100 85 72
43 78 47
83 95 110
85 60 69
89 43 66
66 61 70
77 99 95
80 76 53
88 110 95
56 71 105
109 90 81
